sample_id	osu_id	osu_count	pctsim	species
SRR7293498	1000138	2624	80.24	Alistipes_inops_627,Tidjanibacter_massiliensis_Marseille-P3084
SRR7293498	1000008	1508	96.45	Prevotella_copri_JCM_13464
SRR7293498	1000457	943	99.5	Faecalibacterium_prausnitzii_ATCC_27768
SRR7293498	1000001	859	98.13	Phascolarctobacterium_succinatutens_YIT_12067
SRR7293498	1000007	783	98.11	Prevotella_copri_JCM_13464
SRR7293498	1000045	633	98.36	Phascolarctobacterium_succinatutens_YIT_12067
SRR7293498	1000003	598	99.53	Prevotella_copri_DSM_18205
SRR7293498	1000046	588	96.79	Oscillibacter_sp._ER4
SRR7293498	1000158	583	96.74	Dialister_succinatiphilus_YIT_11850
SRR7293498	1000002	540	99.53	Prevotella_copri_JCM_13464
SRR7293498	5342	488	100	Prevotella_stercorea_DSM_18206,Prevotella_stercorea_CB35
SRR7293498	1000742	477	85.82	Parabacteroides_sp._YL27,Muribaculum_intestinale_YL27
SRR7293498	9547	454	100	Oscillibacter_sp._ER4
SRR7293498	3031	440	100	Akkermansia_muciniphila_[27]
SRR7293498	1000018	413	94.07	Oscillibacter_sp._ER4
SRR7293498	1000185	406	97.54	Roseburia_sp._831b
SRR7293498	1000087	398	99.53	Prevotella_copri_DSM_18205
SRR7293498	1000961	351	95.05	Ruminococcus_bicirculans_80/3
SRR7293498	1000909	349	81.73	Synechococcus_sp._PCC_8807
SRR7293498	1000256	345	94.86	Megasphaera_elsdenii_DSM_20460,Megasphaera_elsdenii_24-50,Megasphaera_elsdenii_14-14,Megasphaera_sp._NM10
SRR7293498	19737	331	100	Massiliprevotella_massiliensis_Marseille-P2439
SRR7293498	1000072	328	85.82	Parabacteroides_sp._YL27,Muribaculum_intestinale_YL27
SRR7293498	1001018	309	97.9	Phascolarctobacterium_succinatutens_YIT_12067
SRR7293498	209	302	100	Escherichia_coli_[7164],Shigella_sonnei_[854],Shigella_flexneri_[67],Shigella_boydii_[32],Escherichia_fergusonii_[7],Escherichia_albertii_[2],Shigella_dysenteriae_[2],Citrobacter_braakii_SCC4,Escherichia_sp._1_1_43,Escherichia_sp._3_2_53FAA,Escherichia_sp._4_1_40B,Escherichia_sp._B1147,Escherichia_sp._KTE11,Escherichia_sp._KTE159,Escherichia_sp._KTE52,Escherichia_sp._KTE96,Escherichia_sp._TW09308,Escherichia_sp._TW15838,Escherichia_vulneris_ATCC_33821,Klebsiella_oxytoca_2880STDY5682666
SRR7293498	3815	292	100	Faecalibacterium_prausnitzii_2789STDY5834970,Faecalibacterium_prausnitzii_CNCM_I_4573,Faecalibacterium_prausnitzii_CNCM_I_4644
SRR7293498	1000474	287	91.6	Eubacterium_coprostanoligenes_ATCC_51222,Eubacterium_coprostanoligenes_HL
SRR7293498	1000074	273	99.29	Prevotella_copri_JCM_13464
SRR7293498	1000049	268	99.76	Prevotella_copri_DSM_18205
SRR7293498	1001113	255	85.4	Abyssivirga_alkaniphila_L81,Vallitalea_guaymasensis_Ra1766G1
SRR7293498	1000551	250	95.56	Oscillibacter_sp._ER4
SRR7293498	1000030	236	97.52	Hungatella_hathewayi_WAL-18680
SRR7293498	9068	232	100	Ruminococcus_bicirculans_80/3
SRR7293498	1001192	225	99.53	Prevotella_copri_DSM_18205
SRR7293498	1001059	208	99.76	Prevotella_stercorea_DSM_18206,Prevotella_stercorea_CB35
SRR7293498	1000065	201	91.83	Acetanaerobacterium_elongatum_Z7
SRR7293498	1000845	200	99.29	Prevotella_stercorea_DSM_18206,Prevotella_stercorea_CB35
SRR7293498	1000873	198	86.05	Parabacteroides_sp._YL27,Muribaculum_intestinale_YL27
SRR7293498	1000006	189	99.3	Phascolarctobacterium_succinatutens_YIT_12067
SRR7293498	14453	185	100	Ruminococcus_bromii_ATCC_27255,Ruminococcus_bromii_5AMG
SRR7293498	1000876	182	99.01	Faecalibacterium_prausnitzii_2789STDY5608869,Faecalibacterium_prausnitzii_CNCM_I_4575
SRR7293498	1000429	181	92.12	Sporobacter_termitidis_DSM_10068
SRR7293498	1000676	173	97.63	Butyricimonas_paravirosa_214-4
SRR7293498	1001354	170	97.78	Sneathia_sanguinegens_CCUG41628,Sneathia_sanguinegens_CCUG_41628
SRR7293498	11037	167	100	Faecalibacterium_prausnitzii_2789STDY5608869,Faecalibacterium_prausnitzii_CNCM_I_4575
SRR7293498	1001372	166	94.63	Megasphaera_elsdenii_DSM_20460,Megasphaera_elsdenii_24-50,Megasphaera_elsdenii_14-14
SRR7293498	1001385	163	87.13	Gracilibacter_thermotolerans_JW/YJL-S1
SRR7293498	1000188	159	97.52	Clostridium_sp._KNHs209
SRR7293498	1001403	158	86.42	Acetobacter_orleanensis_JCM_7639_JCM_7639T,Acetobacter_orleanensis_LMG_1583,Acetobacter_orleanensis_CCM_3610,Acetobacter_orleanensis_DSM_4492,Acetobacter_orleanensis_JCM_7639,Acetobacter_orleanensis_NBRC_13752
SRR7293498	1000377	155	99.53	Prevotella_stercorea_DSM_18206,Prevotella_stercorea_CB35
SRR7293498	1000019	153	99.5	Faecalibacterium_prausnitzii_CNCM_I_4546,Faecalibacterium_prausnitzii_M21/2,Faecalibacterium_prausnitzii_2789STDY5834970,Faecalibacterium_prausnitzii_CNCM_I_4573,Faecalibacterium_prausnitzii_CNCM_I_4644
SRR7293498	1000195	150	97.87	Prevotella_copri_JCM_13464
SRR7293498	11016	146	100	Eubacterium_eligens_2789STDY5834875
SRR7293498	1001462	146	99.01	Subdoligranulum_variabile_BI_114
SRR7293498	4192	143	100	Faecalibacterium_cf._prausnitzii_KLE1255,Faecalibacterium_prausnitzii_CNCM_I_4542
SRR7293498	7339	142	100	Bacteroides_vulgatus_dnLKV7,Bacteroides_vulgatus_2789STDY5834944
SRR7293498	1000235	140	95.3	Victivallis_vadensis_Cello
SRR7293498	1000900	139	95.75	Bacteroides_caecimuris_I48
SRR7293498	1000164	136	99.75	Eubacterium_eligens_ATCC_27750,Eubacterium_eligens_2789STDY5834875
SRR7293498	1000654	134	99.53	Phascolarctobacterium_succinatutens_YIT_12067
SRR7293498	1000014	130	99.05	Prevotella_copri_JCM_13464
SRR7293498	1001539	130	99.07	Phascolarctobacterium_succinatutens_YIT_12067
SRR7293498	3598	128	100	Eubacterium_eligens_2789STDY5834878
SRR7293498	1000027	128	97.87	Prevotella_copri_DSM_18205,Prevotella_copri_JCM_13464
SRR7293498	1001562	126	89.6	Bacteroides_cellulosilyticus_DSM_14838,Bacteroides_cellulosilyticus_CL09T06C25,Bacteroides_intestinalis_KLE1704,Bacteroides_cellulosilyticus_JCM_15632,Bacteroides_cellulosilyticus_CL02T12C19,Bacteroides_sp._14(A),Bacteroides_cellulosilyticus_WH2
