sample_id	osu_id	osu_count	pctsim	species
SRR7293432	4064	7614	100	Veillonella_dispar_ATCC_17748,Veillonella_dispar_DNF00926
SRR7293432	1000100	4367	96.03	Clostridium_sp._KNHs209
SRR7293432	11042	3994	100	Roseburia_intestinalis_2789STDY5834960,Roseburia_intestinalis_DSM_14610,Roseburia_intestinalis_L1-82
SRR7293432	3817	3575	100	Faecalibacterium_prausnitzii_2789STDY5834970,Faecalibacterium_prausnitzii_CNCM_I_4573,Faecalibacterium_prausnitzii_CNCM_I_4644
SRR7293432	1000144	3423	99.77	Veillonella_dispar_ATCC_17748,Veillonella_dispar_DNF00926
SRR7293432	1000177	2761	92.76	Phascolarctobacterium_faecium_ACM_3679
SRR7293432	1000013	2709	99.5	Faecalibacterium_prausnitzii_CNCM_I_4546,Faecalibacterium_prausnitzii_M21/2,Faecalibacterium_prausnitzii_2789STDY5834970,Faecalibacterium_prausnitzii_CNCM_I_4573,Faecalibacterium_prausnitzii_CNCM_I_4644
SRR7293432	1000187	2626	99.77	Veillonella_dispar_ATCC_17748,Veillonella_dispar_DNF00926
SRR7293432	11037	2509	100	Lachnospira_pectinoschiza_2789STDY5834836,Lachnospira_pectinoschiza_2789STDY5834886,Lactobacillus_rogosae_ATCC_27753
SRR7293432	1000043	2336	97.52	Hungatella_hathewayi_WAL-18680
SRR7293432	1000227	2085	99.77	Veillonella_dispar_ATCC_17748,Veillonella_dispar_DNF00926
SRR7293432	20991	2076	100	Phascolarctobacterium_faecium_ACM_3679
SRR7293432	3941	1210	100	Bacteroides_dorei_DSM_17855,Bacteroides_sp._9_1_42FAA,Bacteroides_dorei_5_1_36/D4,Bacteroides_sp._3_1_33FAA,Bacteroides_dorei_An16,Bacteroides_dorei_An41,Bacteroides_dorei_175,Bacteroides_dorei_CL02T00C15,Bacteroides_dorei_CL02T12C06,Bacteroides_dorei_CL03T12C01
SRR7293432	7420	1111	100	Veillonella_sp._ICM51a
SRR7293432	3051	1021	100	Eubacterium_rectale_ATCC_33656,Eubacterium_rectale_2789STDY5608860,Eubacterium_rectale_2789STDY5834884,Eubacterium_rectale_2789STDY5834968
SRR7293432	1000405	1015	95.78	Clostridium_sp._KNHs209
SRR7293432	1000437	889	97.27	Hungatella_hathewayi_WAL-18680
SRR7293432	1000163	818	97.27	Lachnospira_pectinoschiza_2789STDY5834836,Lachnospira_pectinoschiza_2789STDY5834886,Lactobacillus_rogosae_ATCC_27753
SRR7293432	4510	815	100	Veillonella_atypica_ACS-049-V-Sch6
SRR7293432	1000374	784	88.64	Anaerobacterium_chartisolvens_T-1-35
SRR7293432	1000017	782	98.76	Clostridium_disporicum_2789STDY5834856
SRR7293432	11033	776	100	Roseburia_inulinivorans_2789STDY5608887,Roseburia_inulinivorans_2789STDY5608835,Roseburia_inulinivorans_L1-83,Roseburia_inulinivorans_A2-194
SRR7293432	1000493	737	95.78	Clostridium_sp._KNHs209
SRR7293432	1000189	732	96.04	Phascolarctobacterium_succinatutens_YIT_12067
SRR7293432	8447	706	100	Clostridium_saudiense_JCC,Clostridium_disporicum_2789STDY5834855,Clostridium_disporicum_2789STDY5608827,Clostridium_disporicum_DS1
SRR7293432	18547	666	100	Gemmiger_formicilis_X2-56
SRR7293432	1000145	616	99.75	Eubacterium_eligens_ATCC_27750,Eubacterium_eligens_2789STDY5834875
SRR7293432	14623	528	100	Akkermansia_muciniphila_GP39
SRR7293432	11034	479	100	Roseburia_faecis_2789STDY5608863,Roseburia_faecis_M72,Roseburia_faecis_M72/1
SRR7293432	1000663	478	99.75	Eubacterium_rectale_ATCC_33656,Eubacterium_rectale_2789STDY5608860,Eubacterium_rectale_2789STDY5834884,Eubacterium_rectale_2789STDY5834968
SRR7293432	3821	428	100	Clostridium_sp._1_1_41A1FAA,Intestinibacter_bartlettii_2789STDY5834879,Intestinibacter_bartlettii_WAL_16138
SRR7293432	1000118	428	99.25	Terrisporobacter_othiniensis_08-306576,Terrisporobacter_petrolearius_LAM0A37
SRR7293432	1000004	394	99.53	Prevotella_copri_JCM_13464
SRR7293432	1000610	394	85.64	Vallitalea_pronyensis_FatNI3
SRR7293432	1000535	386	99.75	Lachnospiraceae_bacterium_TF01-11
SRR7293432	209	378	100	Escherichia_coli_[7164],Shigella_sonnei_[854],Shigella_flexneri_[67],Shigella_boydii_[32],Escherichia_fergusonii_[7],Escherichia_albertii_[2],Shigella_dysenteriae_[2],Citrobacter_braakii_SCC4,Escherichia_sp._1_1_43,Escherichia_sp._3_2_53FAA,Escherichia_sp._4_1_40B,Escherichia_sp._B1147,Escherichia_sp._KTE11,Escherichia_sp._KTE159,Escherichia_sp._KTE52,Escherichia_sp._KTE96,Escherichia_sp._TW09308,Escherichia_sp._TW15838,Escherichia_vulneris_ATCC_33821,Klebsiella_oxytoca_2880STDY5682666
SRR7293432	1000125	340	99.5	Faecalibacterium_prausnitzii_2789STDY5608869,Faecalibacterium_prausnitzii_CNCM_I_4575
SRR7293432	1000704	325	99.77	Veillonella_parvula_UTDB1-3,Veillonella_sp._6_1_27
SRR7293432	1000007	297	97.4	Prevotella_copri_JCM_13464
SRR7293432	12189	264	100	Clostridiales_bacterium_KLE1615
SRR7293432	1000001	249	99.53	Prevotella_copri_DSM_18205
SRR7293432	4194	236	100	Faecalibacterium_cf._prausnitzii_KLE1255,Faecalibacterium_prausnitzii_CNCM_I_4542
SRR7293432	3809	234	100	Bacteroides_uniformis_[10],Bacteroides_sp._4_1_36
SRR7293432	16556	226	100	Agathobaculum_butyriciproducens_SR79
SRR7293432	1000116	220	96.03	Lachnospira_pectinoschiza_2789STDY5834836,Lachnospira_pectinoschiza_2789STDY5834886,Lactobacillus_rogosae_ATCC_27753
SRR7293432	1000002	213	99.3	Phascolarctobacterium_succinatutens_YIT_12067
SRR7293432	3806	211	100	Dorea_longicatena_DSM_13814,Dorea_longicatena_2789STDY5608851,Dorea_longicatena_2789STDY5834914,Dorea_longicatena_2789STDY5608866,Dorea_longicatena_2789STDY5834961
SRR7293432	3600	209	100	Eubacterium_eligens_2789STDY5834878
SRR7293432	1000242	204	93.85	Prevotella_sp._S7-1-8
SRR7293432	1000938	203	99.76	Bacteroides_ovatus_3_8_47FAA,Bacteroides_ovatus_3725_D1_iv
SRR7293432	1000064	198	96.77	Gemmiger_formicilis_X2-56
SRR7293432	1000149	197	80.24	Alistipes_inops_627,Tidjanibacter_massiliensis_Marseille-P3084
SRR7293432	1001020	194	90.57	Raoultibacter_timonensis_Marseille-P3277
SRR7293432	1001141	194	97.02	Lachnospira_pectinoschiza_2789STDY5834836,Lachnospira_pectinoschiza_2789STDY5834886,Lactobacillus_rogosae_ATCC_27753
SRR7293432	5049	191	100	Bacteroides_ovatus_CL03T12C18
SRR7293432	1001091	183	97.02	Lachnospira_pectinoschiza_2789STDY5834836,Lachnospira_pectinoschiza_2789STDY5834886,Lactobacillus_rogosae_ATCC_27753
SRR7293432	1000294	180	96.28	Clostridium_sp._M62/1,Clostridium_saccharolyticum_An168
SRR7293432	1000024	177	98.28	Ruminococcus_bromii_ATCC_27255,Ruminococcus_bromii_5AMG
SRR7293432	4149	171	100	Veillonella_sp._3_1_44,Veillonella_parvula_UMB0371
SRR7293432	1000489	171	99.77	Veillonella_dispar_ATCC_17748,Veillonella_dispar_DNF00926,Veillonella_sp._3_1_44,Veillonella_parvula_UTDB1-3,Veillonella_parvula_UMB0371
SRR7293432	1000454	167	96.77	Clostridium_sp._M62/1,Clostridium_saccharolyticum_An168
SRR7293432	11018	161	100	Coprococcus_eutactus_2789STDY5608829,Coprococcus_eutactus_2789STDY5834963,Coprococcus_eutactus_2789STDY5608888,Coprococcus_eutactus_2789STDY5608843
SRR7293432	1000577	160	97.52	Anaerotaenia_torta_FH052
SRR7293432	11020	157	100	Eubacterium_eligens_2789STDY5834875
SRR7293432	1000366	141	98.51	Clostridium_sp._M62/1,Clostridium_saccharolyticum_An168
SRR7293432	1001037	137	96.93	Prevotella_copri_JCM_13464
SRR7293432	1001048	134	88.42	Parabacteroides_sp._YL27
SRR7293432	2206	131	100	Bifidobacterium_adolescentis_[21],Bifidobacterium_stercoris_[3],Bifidobacterium_faecale_CU3-7
SRR7293432	1000385	131	95.31	Oscillibacter_sp._1-3,Oscillibacter_sp._PC13
SRR7293432	1000425	131	99.01	Lachnoclostridium_edouardi_Marseille-P3397
